hypothesis,test,statistic,p_value,n,ci_low,ci_high,interpretation
H1,partial correlation,0.44761300657209885,3.4496603721130237e-29,565,0.3748986562639367,0.51484262126607,"significant, opposite direction"
H2,spearman correlation,-0.0017543859649122807,0.9943127370369946,19,-0.5342531914893617,0.5377813051146382,not clearly supported
H3,mann-whitney u,101000.0,2.2850548391243647e-08,820,0.05815254522398271,0.23815448599414332,supported
H4_delay,welch t-test,17.000526009018444,1.781344178832629e-26,116,30.714136904761904,38.64806547619047,supported
