station_complex_id,station_name,stop_lon,stop_lat,tract_geoid,median_household_income,total_population,non_white_population,non_white_share,minority_majority,income_quartile,peak_service_trips,routes_served,year,weekday,weekend,ridership_ratio,avg_daily_ridership
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2020.0,5587.206106870229,3359.625,1.0,4473.415553435114
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2020.0,5587.206106870229,3359.625,0.6013067955142885,4473.415553435114
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2021.0,6394.52490421456,3470.269230769231,1.1444941858063231,4932.3970674918955
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2021.0,6394.52490421456,3470.269230769231,0.6211099365928283,4932.3970674918955
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2022.0,7835.607692307693,4849.352380952381,1.4024196606373172,6342.480036630037
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2022.0,7835.607692307693,4849.352380952381,0.8679386956907574,6342.480036630037
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2023.0,8797.853846153846,5627.990476190476,1.5746427960364109,7212.922161172161
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2023.0,8797.853846153846,5627.990476190476,1.0072995999324417,7212.922161172161
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2024.0,8719.263358778626,5518.6442307692305,1.5605766445696547,7118.953794773928
101,Van Cortlandt Park-242 St,-73.898583,40.889248,36005028500,70543.0,3619.0,1901.0,0.525283227410887,True,Q2,92,1,2024.0,8719.263358778626,5518.6442307692305,0.9877287727014952,7118.953794773928
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2020.0,1280.293893129771,1124.3365384615386,1.0,1202.3152157956547
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2020.0,1280.293893129771,1124.3365384615386,0.8781862855824584,1202.3152157956547
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2021.0,1542.6743295019155,1642.6990291262136,1.204937661407364,1592.6866793140646
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2021.0,1542.6743295019155,1642.6990291262136,1.2830640198638432,1592.6866793140646
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2022.0,2071.75,2047.5865384615383,1.6181831461645555,2059.668269230769
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2022.0,2071.75,2047.5865384615383,1.5993097752392345,2059.668269230769
103,238 St,-73.90087,40.884667,36005028300,,,,,,,100,1,2023.0,2429.35,2511.2549019607845,1.8974940152696331,2470.302450980392
