line_id,month,monthly_delays,avg_weekly_delays
1,2020-01,326,77.74476455320726
1,2020-02,333,77.74476455320726
1,2020-03,197,77.74476455320726
1,2020-04,55,77.74476455320726
1,2020-05,94,77.74476455320726
1,2020-06,149,77.74476455320726
1,2020-07,151,77.74476455320726
1,2020-08,203,77.74476455320726
1,2020-09,231,77.74476455320726
1,2020-10,238,77.74476455320726
1,2020-11,210,77.74476455320726
1,2020-12,330,77.74476455320726
1,2021-01,293,77.74476455320726
1,2021-02,380,77.74476455320726
1,2021-03,375,77.74476455320726
1,2021-04,321,77.74476455320726
1,2021-05,316,77.74476455320726
1,2021-06,432,77.74476455320726
1,2021-07,450,77.74476455320726
1,2021-08,351,77.74476455320726
1,2021-09,247,77.74476455320726
1,2021-10,276,77.74476455320726
1,2021-11,320,77.74476455320726
1,2021-12,405,77.74476455320726
1,2022-01,346,77.74476455320726
1,2022-02,380,77.74476455320726
1,2022-03,425,77.74476455320726
1,2022-04,354,77.74476455320726
1,2022-05,349,77.74476455320726
1,2022-06,348,77.74476455320726
1,2022-07,379,77.74476455320726
1,2022-08,364,77.74476455320726
1,2022-09,377,77.74476455320726
1,2022-10,416,77.74476455320726
1,2022-11,380,77.74476455320726
1,2022-12,434,77.74476455320726
1,2023-01,374,77.74476455320726
1,2023-02,366,77.74476455320726
1,2023-03,384,77.74476455320726
1,2023-04,362,77.74476455320726
1,2023-05,457,77.74476455320726
1,2023-06,370,77.74476455320726
1,2023-07,371,77.74476455320726
1,2023-08,356,77.74476455320726
1,2023-09,372,77.74476455320726
1,2023-10,434,77.74476455320726
1,2023-11,359,77.74476455320726
1,2023-12,457,77.74476455320726
1,2024-01,401,77.74476455320726
1,2024-02,429,77.74476455320726
1,2024-03,375,77.74476455320726
1,2024-04,351,77.74476455320726
1,2024-05,382,77.74476455320726
1,2024-06,365,77.74476455320726
1,2024-07,349,77.74476455320726
1,2024-08,341,77.74476455320726
1,2024-09,328,77.74476455320726
1,2024-10,350,77.74476455320726
1,2024-11,360,77.74476455320726
1,2024-12,347,77.74476455320726
2,2020-01,411,99.42027128908664
2,2020-02,435,99.42027128908664
2,2020-03,293,99.42027128908664
2,2020-04,132,99.42027128908664
2,2020-05,246,99.42027128908664
2,2020-06,249,99.42027128908664
2,2020-07,318,99.42027128908664
2,2020-08,388,99.42027128908664
2,2020-09,389,99.42027128908664
2,2020-10,358,99.42027128908664
2,2020-11,388,99.42027128908664
2,2020-12,417,99.42027128908664
2,2021-01,399,99.42027128908664
2,2021-02,468,99.42027128908664
2,2021-03,529,99.42027128908664
2,2021-04,372,99.42027128908664
2,2021-05,430,99.42027128908664
2,2021-06,532,99.42027128908664
2,2021-07,493,99.42027128908664
2,2021-08,422,99.42027128908664
2,2021-09,318,99.42027128908664
2,2021-10,391,99.42027128908664
2,2021-11,346,99.42027128908664
2,2021-12,486,99.42027128908664
2,2022-01,393,99.42027128908664
2,2022-02,409,99.42027128908664
2,2022-03,403,99.42027128908664
2,2022-04,414,99.42027128908664
2,2022-05,475,99.42027128908664
2,2022-06,456,99.42027128908664
2,2022-07,423,99.42027128908664
2,2022-08,448,99.42027128908664
2,2022-09,464,99.42027128908664
2,2022-10,501,99.42027128908664
2,2022-11,468,99.42027128908664
2,2022-12,513,99.42027128908664
2,2023-01,460,99.42027128908664
2,2023-02,435,99.42027128908664
2,2023-03,445,99.42027128908664
2,2023-04,394,99.42027128908664
2,2023-05,467,99.42027128908664
2,2023-06,396,99.42027128908664
2,2023-07,460,99.42027128908664
2,2023-08,391,99.42027128908664
2,2023-09,431,99.42027128908664
2,2023-10,482,99.42027128908664
2,2023-11,452,99.42027128908664
2,2023-12,522,99.42027128908664
2,2024-01,414,99.42027128908664
2,2024-02,514,99.42027128908664
2,2024-03,538,99.42027128908664
2,2024-04,508,99.42027128908664
2,2024-05,494,99.42027128908664
2,2024-06,512,99.42027128908664
2,2024-07,473,99.42027128908664
2,2024-08,491,99.42027128908664
2,2024-09,524,99.42027128908664
2,2024-10,453,99.42027128908664
2,2024-11,486,99.42027128908664
2,2024-12,618,99.42027128908664
3,2020-01,235,52.846858546533184
3,2020-02,211,52.846858546533184
3,2020-03,163,52.846858546533184
3,2020-04,70,52.846858546533184
3,2020-05,138,52.846858546533184
3,2020-06,148,52.846858546533184
3,2020-07,190,52.846858546533184
3,2020-08,287,52.846858546533184
3,2020-09,209,52.846858546533184
3,2020-10,221,52.846858546533184
3,2020-11,211,52.846858546533184
3,2020-12,243,52.846858546533184
3,2021-01,251,52.846858546533184
