station_complex_id,year,day_type,avg_daily_ridership,ridership_ratio
1,2020,weekday,6344.1908396946565,1.0
1,2020,weekend,3378.173076923077,0.5324828906133074
1,2021,weekday,7135.141762452107,1.1246732550680205
1,2021,weekend,4245.634615384615,0.6692160943236941
1,2022,weekday,9528.7,1.5019567098108628
1,2022,weekend,5256.657142857143,0.8285780292053989
1,2023,weekday,10431.857692307693,1.6443165024351276
1,2023,weekend,5471.8,0.8624898175766976
1,2024,weekday,10658.824427480917,1.6800920238386023
1,2024,weekend,5791.403846153846,0.912867218608541
10,2020,weekday,6204.419847328244,1.0
10,2020,weekend,3278.394230769231,0.5283965804121038
10,2021,weekday,7433.237547892721,1.1980552139929137
10,2021,weekend,6557.721153846154,1.0569434879024264
10,2022,weekday,13400.688461538462,2.159861645615276
10,2022,weekend,10959.542857142857,1.7664089676107704
10,2023,weekday,16103.611538461539,2.5955064187663086
10,2023,weekend,12729.704761904763,2.0517155632829147
10,2024,weekday,19195.3893129771,3.09382501270333
10,2024,weekend,14850.163461538461,2.3934813934187997
100,2020,weekday,1385.6145038167938,1.0
100,2020,weekend,984.1442307692307,0.7102583208087972
100,2021,weekday,1552.5785440613026,1.120498190358568
100,2021,weekend,1062.1153846153845,0.7665302157921245
100,2022,weekday,1742.1153846153845,1.2572872034873903
100,2022,weekend,1060.6761904761904,0.7654915472914486
100,2023,weekday,1832.6615384615384,1.3226344942358177
100,2023,weekend,1320.8,0.9532232784528043
100,2024,weekday,1960.2366412213742,1.4147056311995396
100,2024,weekend,1557.9807692307693,1.1243969841100665
101,2020,weekday,5587.206106870229,1.0
101,2020,weekend,3359.625,0.6013067955142885
101,2021,weekday,6394.52490421456,1.1444941858063233
101,2021,weekend,3470.269230769231,0.6211099365928283
101,2022,weekday,7835.607692307693,1.4024196606373172
101,2022,weekend,4849.352380952381,0.8679386956907574
101,2023,weekday,8797.853846153846,1.5746427960364109
101,2023,weekend,5627.990476190476,1.0072995999324417
101,2024,weekday,8719.263358778626,1.5605766445696547
101,2024,weekend,5518.6442307692305,0.9877287727014953
103,2020,weekday,1280.293893129771,1.0
103,2020,weekend,1124.3365384615386,0.8781862855824584
103,2021,weekday,1542.6743295019157,1.204937661407364
103,2021,weekend,1642.6990291262136,1.2830640198638432
103,2022,weekday,2071.75,1.6181831461645555
103,2022,weekend,2047.5865384615386,1.5993097752392345
103,2023,weekday,2429.35,1.8974940152696331
103,2023,weekend,2511.2549019607845,1.9614675313508214
103,2024,weekday,2459.295019157088,1.9208831912375708
103,2024,weekend,2381.039603960396,1.859760182202988
107,2020,weekday,2469.6832061068703,1.0
107,2020,weekend,655.5643564356436,0.26544471566823113
107,2021,weekday,2460.624521072797,0.9963320457410596
107,2021,weekend,1159.9134615384614,0.4696608288343637
107,2022,weekday,3459.4653846153847,1.400772931548891
107,2022,weekend,1492.2380952380952,0.6042224733715591
107,2023,weekday,4037.246153846154,1.6347222768746683
107,2023,weekend,1910.7941176470588,0.773700089518434
107,2024,weekday,4262.599236641221,1.7259700459155838
107,2024,weekend,2003.5961538461538,0.8112765835277144
108,2020,weekday,1727.4923664122136,1.0
108,2020,weekend,719.5480769230769,0.4165275001576352
108,2021,weekday,2079.7509578544064,1.203913255011245
108,2021,weekend,820.2211538461538,0.47480450263849844
108,2022,weekday,2613.4,1.5128286820900438
108,2022,weekend,854.3809523809524,0.49457871362719547
108,2023,weekday,2824.073359073359,1.6347819614037469
108,2023,weekend,944.4660194174758,0.546726595023406
108,2024,weekday,2934.3702290076335,1.6986299251220165
108,2024,weekend,1123.6153846153845,0.6504314614998813
109,2020,weekday,2779.614503816794,1.0
109,2020,weekend,1266.8557692307693,0.45576671423004944
109,2021,weekday,3140.536398467433,1.1298460251070945
109,2021,weekend,1349.326923076923,0.4854367111785146
109,2022,weekday,3854.2192307692308,1.3866020721495216
109,2022,weekend,1502.0761904761905,0.5403901110796597
109,2023,weekday,4074.0115384615383,1.4656750181967173
109,2023,weekend,1643.2941176470588,0.5911949716014899
109,2024,weekday,4036.3244274809163,1.4521166233441676
109,2024,weekend,1814.0673076923076,0.6526326960811808
110,2020,weekday,1951.973282442748,1.0
110,2020,weekend,928.2788461538462,0.47555919668745406
110,2021,weekday,2279.4827586206898,1.167783790446193
110,2021,weekend,917.8076923076923,0.47019480264562064
110,2022,weekday,2863.8384615384616,1.467150440683585
110,2022,weekend,1109.9038461538462,0.5686060645076477
110,2023,weekday,3059.5019305019305,1.5673892455501202
110,2023,weekend,1282.813725490196,0.6571881577625135
110,2024,weekday,3223.3664122137407,1.6513373626609988
110,2024,weekend,1519.798076923077,0.7785957372434748
111,2020,weekday,1444.9656488549617,1.0
111,2020,weekend,906.0673076923077,0.6270511056164589
111,2021,weekday,1539.272030651341,1.0652654835574193
111,2021,weekend,640.8461538461538,0.44350269112209095
111,2022,weekday,1750.5192307692307,1.2114607929651475
111,2022,weekend,778.5961538461538,0.538833677093389
111,2023,weekday,2011.4630350194552,1.3920490335624274
111,2023,weekend,1019.2525252525253,0.705381838011315
111,2024,weekday,2073.9351145038167,1.4352833343458864
111,2024,weekend,1094.5673076923076,0.7575040337877089
113,2020,weekday,1932.4656488549617,1.0
113,2020,weekend,1353.2788461538462,0.7002861070030925
113,2021,weekday,2144.394636015326,1.109667660734843
113,2021,weekend,1027.576923076923,0.5317439529576063
113,2022,weekday,2578.623076923077,1.3343694251181029
113,2022,weekend,1298.8190476190475,0.6721045977653641
113,2023,weekday,2742.9884615384617,1.4194241761367177
113,2023,weekend,1431.12,0.7405668508767425
113,2024,weekday,2870.1946564885498,1.4852500266637174
113,2024,weekend,1593.125,0.8244001651175377
114,2020,weekday,1782.8396946564885,1.0
114,2020,weekend,1128.5192307692307,0.6329897377490633
114,2021,weekday,1964.448275862069,1.101864784450277
114,2021,weekend,916.5,0.5140675309995204
114,2022,weekday,2569.8307692307694,1.4414255958811348
114,2022,weekend,1216.6699029126214,0.6824337076178042
114,2023,weekday,2671.139534883721,1.4982499788902148
114,2023,weekend,1301.7,0.7301273378091389
114,2024,weekday,2788.2442748091603,1.563934370076043
114,2024,weekend,1513.5384615384614,0.8489481505683465
118,2020,weekday,2355.625954198473,1.0
118,2020,weekend,1198.5576923076924,0.5088064555289358
118,2021,weekday,3165.7241379310344,1.3438993284518321
118,2021,weekend,2832.6826923076924,1.2025180344353705
118,2022,weekday,4147.757692307692,1.7607879064649765
118,2022,weekend,3549.1714285714284,1.5066786907512537
118,2023,weekday,4512.976923076923,1.9158291727230148
118,2023,weekend,3772.6857142857143,1.6015639951502447
118,2024,weekday,4930.416030534351,2.0930385920340133
118,2024,weekend,4216.701923076923,1.790055808971463
119,2020,weekday,6856.160305343511,1.0
